Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Thappad,2020,Drama            ,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,6.8,"25,232",1,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah","['thappad', 'story', 'amrita', 'whose', 'seemingly', 'perfect', 'life', 'shattered', 'husband', 'slaps', 'party.', 'one', 'slap', 'enough', 'question', 'relationship', 'stands', 'for?']"
Badla,2019,"Crime, Drama, Mystery            ",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,7.8,"25,200",2,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel","['dynamic', 'young', 'entrepreneur', 'finds', 'locked', 'hotel', 'room', 'corpse', 'dead', 'lover.', 'hires', 'prestigious', 'lawyer', 'defend', 'work', 'together', 'figure', 'actually', 'happened.']"
Dhoom:2,2006,"Action, Crime, Thriller            ","Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",6.6,"25,174",15,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra","['mr', 'a,', 'fearless', 'thief,', 'steals', 'valuable', 'artefacts', 'teams', 'girl', 'attracted', 'cannot', 'trusted.', 'close', 'heels', 'three', 'police', 'officers', 'trying', 'apprehend', 'them.']"
Rustom,2016,"Crime, Drama, Thriller            ","A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",7.1,"24,937",5,"harmendra Suresh Desai', ""","Akshay Kumar, Manoj Bajpayee, Ileana D'Cruz, Esha Gupta""","['naval', 'officer', 'returns', 'home', 'find', ""wife's"", 'affair.', 'soon,', 'surrenders', 'murdering', 'lover', 'case', 'unfolds,', 'starts', 'reveal', 'hidden', 'intention.']"
Sarfarosh,1999,"Action, Drama            ","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",8.1,"24,862",22,John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi","['brother', 'killed', 'father', 'severely', 'injured', 'terrorists,', 'young', 'med', 'student', 'quits', 'studies', 'join', 'indian', 'police', 'service', 'wipe', 'terrorists.']"
Kapoor & Sons,2016,"Comedy, Drama, Family            ","A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse,the family is undergoing a financial crunch and much more as the drama unfolds.",7.7,"24,681",5,Shakun Batra,"Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah, Fawad Khan","['story', 'revolving', 'around', 'dysfunctional', 'family', '2', 'brothers', 'visit', 'family', 'discover', 'parents', 'marriage', 'verge', 'collapse,the', 'family', 'undergoing', 'financial', 'crunch', 'much', 'drama', 'unfolds.']"
Bodyguard,2011,"Action, Comedy, Drama            ",The daughter of a wealthy nobleman secretly falls in love with her bodyguard.,4.7,"24,607",10,Siddique,"Salman Khan, Kareena Kapoor, Raj Babbar, Hazel Keech","['daughter', 'wealthy', 'nobleman', 'secretly', 'falls', 'love', 'bodyguard.']"
2 States,2014,"Comedy, Drama, Romance            ",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,6.9,"24,497",7,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi","['movie', 'chronicles', 'chetan', 'met', 'wife', 'difficulties', 'faced', 'due', 'cultural', 'differences.']"
Tanhaji: The Unsung Warrior,2020,"Action, Biography, Drama            ","Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",7.6,"24,030",1,Om Raut,"Ajay Devgn, Saif Ali Khan, Sharad Kelkar, Kajol","['tanhaji', 'malusare,', 'military', 'chieftain', 'army', 'maratha', 'king', 'shivaji,', 'leads', 'charge', 'capture', 'strategically', 'important', 'kondhana', 'fort', 'guarded', 'army', 'fierce', 'rajput', 'chieftain', 'udaybhan', 'rathod.']"
Madras Cafe,2013,"Action, Drama, Thriller            ",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,7.7,"23,791",8,Shoojit Sircar,"John Abraham, Nargis Fakhri, Raashi Khanna, Prakash Belawadi","['indian', 'intelligence', 'agent', 'journeys', 'war-torn', 'coastal', 'island', 'break', 'resolute', 'rebel', 'group', 'meets', 'passionate', 'journalist.']"
Jolly LLB 2,2017,"Comedy, Drama            ",Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,7.2,"23,743",4,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla, Annu Kapoor","['jolly', 'clumsy', 'lawyer', 'faced', 'representing', 'critical', 'court', 'case', 'career.']"
Gabbar Is Back,2015,"Action, Comedy, Crime            ",A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,7.1,"23,742",6,Radha Krishna Jagarlamudi,"Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman","['grief-stricken', 'man', 'takes', 'law', 'hands', 'begins', 'kidnap', 'murder', 'corrupt', 'public', 'servants.']"
Padman,2018,"Comedy, Drama            ","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",7.9,"23,585",3,R. Balki,"Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash","['upon', 'realizing', 'extent', 'women', 'affected', 'menses,', 'man', 'sets', 'create', 'sanitary', 'pad', 'machine', 'provide', 'inexpensive', 'sanitary', 'pads', 'women', 'rural', 'india.']"
Bhool Bhulaiyaa,2007,"Comedy, Horror, Mystery            ","An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",7.3,"23,493",14,Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel","['nri', 'wife', 'decide', 'stay', 'ancestral', 'home,', 'paying', 'heed', 'warnings', 'ghosts.', 'soon,', 'inexplicable', 'occurrences', 'cause', 'call', 'psychiatrist', 'help', 'solve', 'mystery.']"
Agneepath,2012,"Action, Crime, Drama            ",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,6.9,"23,307",9,Karan Malhotra,"Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt, Rishi Kapoor","['young', ""boy's"", 'father', 'lynched', 'eyes;', 'fifteen', 'years', 'later', 'returns', 'home', 'revenge.']"
Khosla Ka Ghosla!,2006,"Comedy, Crime, Drama            ",A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,8.3,"23,090",15,bakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma","['delhi', 'based', 'retired', 'middle', 'class', 'man', 'tries', 'half-heartedly', 'get', 'land', 'back', 'swindling', 'property', 'dealer', 'help', 'sons', 'friends.']"
Darr,1993,"Action, Drama, Romance            ",A woman plans to marry a navy officer but she is also the object of another man's obsession.,7.8,"22,973",28,Yash Chopra,"Juhi Chawla, Sunny Deol, Shah Rukh Khan, Anupam Kher","['woman', 'plans', 'marry', 'navy', 'officer', 'also', 'object', 'another', ""man's"", 'obsession.']"
Wanted,2009,"Action, Crime, Thriller            ","Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.",6.6,"22,961",12,Prabhu Deva,"Salman Khan, Ayesha Takia, Vinod Khanna, Govind Namdeo","['radhe', 'ruthless', 'gangster', 'kill', 'anyone', 'money.', 'attracted', 'towards', 'jhanvi,', 'middle', 'class', 'girl,', 'approve', 'work', 'wants', 'change.']"
Bang Bang,2014,"Action, Adventure, Comedy            ","A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background.",5.6,"22,870",7,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Alex Upadhyay, Pawan Malhotra","['young', 'bank', 'receptionist', 'gets', 'mixed', 'rajveer', 'nanda,', 'man', 'mysterious', 'background.']"
Guru,2007,Drama            ,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",7.7,"22,837",14,Mani Ratnam,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan, Madhavan","['villager,', 'gurukant', 'desai,', 'arrives', 'bombay', '1958,', 'rises', 'streets', 'become', 'guru,', 'biggest', 'tycoon', 'indian', 'history.']"
Badlapur,2015,"Action, Crime, Drama            ",Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,7.4,"22,820",6,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi","['raghu', 'begins', 'walking', 'fine', 'line', 'good', 'evil', 'exacts', 'violent', 'revenge', 'two', 'criminals', 'killed', 'family', '15', 'years', 'ago.']"
Secret Superstar,2017,"Drama, Music            ",A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,7.8,"22,756",4,Advait Chandan,"Zaira Wasim, Meher Vij, Raj Arjun, Aamir Khan","['talented', 'teenage', 'singer-songwriter', 'living', 'amid', 'domestic', 'abuse', 'becomes', 'youtube', 'sensation', 'video', 'hides', 'identity', 'goes', 'viral.']"
Koi... Mil Gaya,2003,"Action, Drama, Romance            ","A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",7.1,"22,577",18,Rakesh Roshan,"Hrithik Roshan, Rekha, Preity Zinta, Rakesh Roshan","['developmentally', 'disabled', 'young', 'man', 'tries', 'continue', 'work', 'father', 'communicating', 'extra-terrestrials', 'outer', 'space,', 'leads', 'something', 'miraculous', 'wonderful.']"
2.0,2018,"Action, Sci-Fi            ","After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan.",6.2,"22,527",3,S. Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson, Adil Hussain","['mobiles', 'start', 'mysteriously', 'flying', 'hands', 'people', 'chennai,', 'dr', 'vaseegaran', 'summons', 'trusted', 'robot', 'chitti', 'ward', 'bird-shaped', 'supernatural', 'powers', 'pakshirajan.']"
Jo Jeeta Wohi Sikandar,1992,"Comedy, Drama, Romance            ","A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",8.2,"22,499",29,Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi","['rich', 'brat', 'poor', 'chap', 'try', 'woo', 'girl,', 'rivalry', 'culminating', 'prestigious', 'college', 'event', '-', 'marathon', 'cycle', 'race.']"
Parmanu: The Story of Pokhran,2018,"Action, Drama, History            ","Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",7.6,"22,413",3,Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty, Anuja Sathe","['ashwat', 'raina', 'teammates', 'arrive', 'pokhran', 're-conduct', 'confidential', 'nuclear', 'test,', 'face', 'challenges', 'american', 'lacrosse', 'satellite', 'local', 'spies.']"
Lakshya,2004,"Action, Drama, Romance            ","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",7.9,"22,215",17,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Amitabh Bachchan, Om Puri","['aimless,', 'jobless,', 'irresponsible', 'grown', 'man', 'joins', 'army', 'matures', 'battlefield', 'hero.']"
Ae Dil Hai Mushkil,2016,"Drama, Music, Musical            ","This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",5.8,"22,145",5,Karan Johar,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan","['story', 'explores', 'love', '-', 'shapes', 'takes,', 'ways', 'changes', 'us', 'exhilarating', 'often', 'terrifying', 'ride', 'takes', 'us', 'on.', 'journey', 'two', 'characters,', 'alizeh', 'ayan,', 'navigate', 'life,', 'love', 'heartbreak.']"
Simmba,2018,"Action, Comedy, Crime            ","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",5.6,"22,067",3,Rohit Shetty,"Sam Nagar, Ranveer Singh, Sara Ali Khan, Sonu Sood","['simmba,', 'corrupt', 'officer,', 'enjoys', 'perks', 'immoral', 'unethical', 'police', 'officer', 'life-changing', 'event', 'forces', 'choose', 'righteous', 'path.']"
Detective Byomkesh Bakshy!,2015,"Action, Crime, Drama            ","While investigating the disappearance of a chemist, a detective uncovers a larger conspiracy to unsettle Calcutta.",7.7,"22,046",6,bakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi, Divya Menon","['investigating', 'disappearance', 'chemist,', 'detective', 'uncovers', 'larger', 'conspiracy', 'unsettle', 'calcutta.']"
War,2019,"Action, Adventure, Thriller            ",An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,6.5,"21,958",2,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana","['indian', 'soldier', 'chases', 'mentor', 'gone', 'rogue', 'following', 'unexpected', 'kill.']"
Neerja,2016,"Biography, Drama, Thriller            ","Neerja is the story of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",7.6,"21,929",5,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Yogendra Tikku, Abrar Zahoor","['neerja', 'story', 'courageous', 'neerja', 'bhanot,', 'sacrificed', 'life', 'protecting', 'lives', '359', 'passengers', 'pan', 'flight', '73', '1986.', 'flight', 'hijacked', 'terrorist', 'organization.']"
Krrish 3,2013,"Action, Adventure, Sci-Fi            ","Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",5.2,"21,749",8,Rakesh Roshan,"Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas, Kangana Ranaut","['krrish', 'scientist', 'father', 'must', 'save', 'world', 'family', 'evil', 'man', 'named', 'kaal', 'gang', 'mutants,', 'led', 'ruthless', 'kaya.']"
Dil To Pagal Hai,1997,"Comedy, Drama, Musical            ","A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",7.0,"21,562",24,Yash Chopra,"Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor, Akshay Kumar","['grand', 'musical', 'three', 'passionate', 'dreamy', 'characters:', 'rahul,', 'pooja', 'nisha.', 'dreams', 'come', 'true?', 'find', 'true', 'love?']"
Rowdy Rathore,2012,"Action, Comedy, Crime            ","A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",5.7,"21,518",9,Prabhu Deva,"Akshay Kumar, Sonakshi Sinha, Nassar, Yashpal Sharma","['con', 'man', 'uncovers', 'deadly', 'secret', 'must', 'save', 'lady', 'love,', 'small-town', 'locals', 'little', 'girl', 'insists', 'daughter,', 'mob.']"
Rock On!!,2008,"Drama, Music            ",Four friends reunite to relive their moments of glory as a rock band.,7.7,"21,479",13,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli","['four', 'friends', 'reunite', 'relive', 'moments', 'glory', 'rock', 'band.']"
Bareilly Ki Barfi,2017,"Comedy, Romance            ","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",7.5,"21,360",4,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi","['set', 'small-town', 'bareilly,', 'bitti', 'free-spirited', 'young', 'girl', 'lives', 'life', 'terms', 'refuses', 'pressured', 'getting', 'married.', 'life', 'takes', 'shift', 'meets', 'chirag', 'dubey', 'pritam', 'vidrohi.']"
Namastey London,2007,"Comedy, Drama, Romance            ","A man takes his thoroughly-British daughter to his home country, India. There, he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them, but the groom quietly and patiently hatches his own plan.",7.1,"21,257",14,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen","['man', 'takes', 'thoroughly-british', 'daughter', 'home', 'country,', 'india.', 'there,', 'arranges', 'marriage', 'someone', 'considers', 'fool.', 'daughter', 'attempts', 'outwit', 'them,', 'groom', 'quietly', 'patiently', 'hatches', 'plan.']"
Ugly,2013,"Crime, Drama, Mystery            ",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,8.0,"21,121",8,Anurag Kashyap,"Rahul Bhatt, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh","['case', 'missing', 'girl', 'takes', 'us', 'journey', 'human', 'greed', 'brushes', 'upon', 'egos', 'repressed', 'emotions', 'characters.']"
Haseen Dillruba,2021,"Crime, Drama, Mystery            ","Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.9,"20,925",0,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastav","['investigation', 'suspect', ""husband's"", 'murder,', 'wife', 'reveals', 'details', 'thorny', 'marriage', 'seem', 'blur', 'truth.']"
Prem Ratan Dhan Payo,2015,"Action, Drama, Musical            ","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",4.4,"20,818",6,Sooraj R. Barjatya,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Deepak Dobriyal","['recovering', 'assassination', 'attempt', 'four', 'days', 'coronation,', 'stern', 'prince', 'replaced', 'romantic', 'lookalike.']"
Pyaar Ka Punchnama,2011,"Comedy, Drama, Romance            ",Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,7.6,"20,749",10,Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Nushrat Bharucha","['nishant', 'starts', 'dating', 'charu', 'roommates', 'rajat', 'vikrant', 'already', 'girlfriends', 'neha', 'rhea', 'respectively.', 'trouble', 'starts', 'guys', 'feel', 'girlfriends', 'dominating', 'them.']"
Phir Hera Pheri,2006,"Comedy, Crime            ","Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game.",7.1,"20,633",15,Neeraj Vora,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Bipasha Basu","['baburao,', 'raju', 'shyam', 'living', 'happily', 'risen', 'rags', 'riches.', 'still,', 'money', 'brings', 'joy', 'riches', 'greed', 'make', 'money.', 'so,', 'unknowing', 'investor,', 'raju', 'initiates', 'new', 'game.']"
Sonu Ke Titu Ki Sweety,2018,"Comedy, Romance            ",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,7.1,"20,628",3,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sunny Singh Nijjar, Alok Nath","['titu', 'going', 'marry', 'perfect', 'woman', 'named', 'sweety.', ""titu's"", 'best-friend', 'sonu', 'doubts', ""sweety's"", 'character', 'tries', 'break', 'marriage', 'sweety', 'tries', 'opposite', 'leads', 'war', 'bromance', 'romance.']"
Welcome,2007,"Comedy, Romance            ","A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",7.0,"20,291",14,Anees Bazmee,"Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor","['man', 'falls', 'love', 'beautiful', 'woman,', 'later', 'discovers', 'brothers', 'gangsters.']"
Student of the Year 2,2019,"Action, Comedy, Drama            ","A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.",2.2,"20,229",2,Punit Malhotra,"Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal","['student', 'must', 'face', 'bullies', 'overcome', 'hurdles,', 'academic', 'romantic,', 'win', ""college's"", 'coveted', 'student', 'year', 'trophy.']"
Hum Aapke Hain Koun..!,1994,"Comedy, Drama, Musical            ","Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",7.5,"20,185",27,Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Mohnish Bahl, Renuka Shahane","['prem', 'nisha', 'meet', 'fall', 'love', 'wedding', 'elder', 'siblings,', 'plans', 'together', 'put', 'jeopardy', ""nisha's"", 'sister', 'dies,', 'leaving', 'behind', 'baby.']"
Omkara,2006,"Action, Crime, Drama            ",A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,8.1,"19,959",15,Vishal Bhardwaj,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma","['politically-minded', ""enforcer's"", 'misguided', 'trust', 'lieutenant', 'leads', 'suspect', 'wife', 'infidelity', 'adaptation', ""shakespeare's"", ""'othello'.""]"
Black Friday,2004,"Action, Crime, Drama            ","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",8.5,"19,926",17,Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav, Dibyendu Bhattacharya","['film', 'investigations', 'following', '1993', 'serial', 'bombay', 'bomb', 'blasts,', 'told', 'different', 'stories', 'people', 'involved', '--police,', 'conspirators,', 'victims,', 'middlemen.']"
Jab Harry Met Sejal,2017,"Comedy, Drama, Romance            ",A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,5.3,"19,809",4,Imtiaz Ali,"Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Martavius Gunn","['depressed', 'middle-aged', 'tour', 'guide', 'lives', 'bubble', 'gets', 'another', 'chance', 'experience', 'face', 'reality', 'chirpy', 'girl.']"
Rocket Singh: Salesman of the Year,2009,"Comedy, Drama            ","A story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart.",7.5,"19,704",12,Shimit Amin,"Ranbir Kapoor, Prem Chopra, Mukesh S. Bhatt, D. Santosh","['story', 'fresh', 'graduate', 'trying', 'find', 'balance', 'maddening', 'demands', ""'professional'"", 'way,', 'way', 'heart.']"
Krrish,2006,"Action, Adventure, Sci-Fi            ","Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.",6.4,"19,691",15,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra Jonas, Rekha, Naseeruddin Shah","['krishna', 'forced', 'circumstances', 'use', 'superpowers', 'become', 'masked', 'superhero', 'krrish,', 'getting', 'drawn', 'towards', 'lost', 'legacy.']"
Toilet - Ek Prem Katha,2017,"Comedy, Drama            ","A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",7.2,"19,577",4,Shree Narayan Singh,"Akshay Kumar, Anupam Kher, Bhumi Pednekar, Sana Khaan","['woman', 'threatens', 'leave', 'husband', 'unless', 'installs', 'toilet', 'home.', 'win', 'back', 'love', 'respect,', 'heads', 'journey', 'fight', 'backward', 'society.']"
Goliyon Ki Rasleela Ram-Leela,2013,"Drama, Musical, Romance            ","Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",6.4,"19,523",8,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Supriya Pathak, Sharad Kelkar","['modern', 'adaptation', 'william', ""shakespeare's"", ""'romeo"", ""juliet'"", 'indian', 'twist,', 'film', 'focuses', 'story', 'ram', 'leela,', 'love,', 'lust', 'drama', 'afterwards.']"
Mrs. Serial Killer,2020,"Crime, Drama, Thriller            ","When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",4.8,"19,423",1,Shirish Kunder,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan","['doctor', 'gets', 'jailed', 'string', 'shocking', 'murders,', 'loyal', 'wife', 'sets', 'commit', 'copycat', 'crime', 'prove', 'innocence.']"
Kabhi Alvida Naa Kehna,2006,"Drama, Romance            ","Dev, a former football player is married to Rhea, a successful fashion editor. Maya is a kindergarten teacher who is married to Rishi, an outgoing event planner. These couples' lives intersect and they each question their own marriage.",6.1,"19,171",15,Karan Johar,"Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Abhishek Bachchan","['dev,', 'former', 'football', 'player', 'married', 'rhea,', 'successful', 'fashion', 'editor.', 'maya', 'kindergarten', 'teacher', 'married', 'rishi,', 'outgoing', 'event', 'planner.', ""couples'"", 'lives', 'intersect', 'question', 'marriage.']"
Jolly LLB,2013,"Comedy, Drama            ","Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",7.5,"18,966",8,Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla","['wanting', 'earn', 'fame', 'fortune,', 'small', 'time', 'lawyer', 'files', 'pil', 'infamous', 'hit-and-run,', 'thus', 'learns', 'really', 'like', 'lawyer.']"
Tubelight,2017,"Drama, War            ","A story of two brothers set during the Sino-Indian war, 1962: the younger one who's at war at the borders and the elder who's at war with his own world.",3.8,"18,950",4,Kabir Khan,"Salman Khan, Sohail Khan, Om Puri, Mohd. Zeeshan Ayyub","['story', 'two', 'brothers', 'set', 'sino-indian', 'war,', '1962:', 'younger', 'one', ""who's"", 'war', 'borders', 'elder', ""who's"", 'war', 'world.']"
Dum Laga Ke Haisha,2015,"Comedy, Drama, Romance            ",Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,7.5,"18,949",6,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar, Sanjay Mishra, Kumar Sanu","['prem', 'oversized', 'wife', 'sandhya', 'supposed', 'spend', 'lifetime', 'together.', 'regular', 'arranged', 'marriage', 'turn', 'perfect', 'mismatch?']"
Jai Ho,2014,"Action, Drama            ","An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",5.1,"18,902",7,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Danny Denzongpa","['upright', 'ex-army', 'man,', 'jai', 'fights', 'solitary', 'war', 'corruption', 'injustice.', 'simple', 'mantra', 'pay', 'forward,', 'starts', 'helping', 'one', 'person', 'forms', 'ever', 'growing', 'circle', 'people', 'helping', 'other.']"
Thugs of Hindostan,2018,"Action, Adventure            ","Recruited by the East India Company, a local thug infiltrates a troop of patriotic bandits who plan to overthrow the British regime and reclaim their independence.",4.1,"18,697",3,Vijay Krishna Acharya,"Aamir Khan, Amitabh Bachchan, Katrina Kaif, Lloyd Owen","['recruited', 'east', 'india', 'company,', 'local', 'thug', 'infiltrates', 'troop', 'patriotic', 'bandits', 'plan', 'overthrow', 'british', 'regime', 'reclaim', 'independence.']"
