Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Anari,1959,"Comedy, Drama, Musical            ","A poor young man gets employed by a rich man admiring his honesty. But when he gets suspected in a lady's murder case, he need to prove his innocence.",7.9,780,62,Hrishikesh Mukherjee,"Raj Kapoor, Nutan, Lalita Pawar, Shubha Khote","['poor', 'young', 'man', 'gets', 'employed', 'rich', 'man', 'admiring', 'honesty.', 'gets', 'suspected', ""lady's"", 'murder', 'case,', 'need', 'prove', 'innocence.']"
Bol Radha Bol,1992,"Action, Comedy, Crime            ",A man returning from a trip discovers that a stranger who looks just like him has moved in with his wife.,6.1,777,29,avid Dhawan,"Rishi Kapoor, Juhi Chawla, Kader Khan, Shakti Kapoor","['man', 'returning', 'trip', 'discovers', 'stranger', 'looks', 'like', 'moved', 'wife.']"
Raja,1995,"Action, Drama, Romance            ","Raja and Madhu fall in love and decide to get married. However, her brothers are against the alliance and devise a plan to drive the two apart.",5.3,775,26,Indra Kumar,"Sanjay Kapoor, Madhuri Dixit, Mukesh Khanna, Dalip Tahil","['raja', 'madhu', 'fall', 'love', 'decide', 'get', 'married.', 'however,', 'brothers', 'alliance', 'devise', 'plan', 'drive', 'two', 'apart.']"
Roti Kapada Aur Makaan,1974,"Action, Drama, Musical            ",Bharat faces challenges in leading his family after taking the responsibilities following his father's death.,6.9,773,47,Manoj Kumar,"Manoj Kumar, Shashi Kapoor, Zeenat Aman, Moushumi Chatterjee","['bharat', 'faces', 'challenges', 'leading', 'family', 'taking', 'responsibilities', 'following', ""father's"", 'death.']"
Gandhinagar 2nd Street,1986,"Comedy, Family, Romance            ","Sethu is an unemployed youth, struggling to get a job. However, when a spate of robberies take place in the neighborhood, his friend poses him as a Nepali to get a job as a security guard.",7.6,772,35,Sathyan Anthikad,"Mohanlal, Karthika, Sreenivasan, Seema","['sethu', 'unemployed', 'youth,', 'struggling', 'get', 'job.', 'however,', 'spate', 'robberies', 'take', 'place', 'neighborhood,', 'friend', 'poses', 'nepali', 'get', 'job', 'security', 'guard.']"
Tutak Tutak Tutiya,2016,"Comedy, Horror            ",The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016),5.5,767,5,A.L. Vijay,"Sonu Sood, Rajiv Thakur, Rj Ajay, RJ Balaji","['hindi', 'version', 'trilingual', 'horror-comedy', 'wherein', 'husband', 'finds', 'wife', 'possessed.', 'telugu', 'version', 'abhinetri', '(2016)', 'tamil', 'version', 'devi(l)', '(2016)']"
Veerana,1988,"Action, Drama, Horror            ","A beautiful young girl, unfortunately possessed from her childhood by a vengeful spirit, wanders around lonely places to seduce and kill people and thus, gradually becoming lost into a dark world of revenge and lust.",6.7,767,33,"s:Shyam Ramsay, Tulsi Ramsay","Jasmin, Hemant Birje, Sahila Chaddha, Kulbhushan Kharbanda","['beautiful', 'young', 'girl,', 'unfortunately', 'possessed', 'childhood', 'vengeful', 'spirit,', 'wanders', 'around', 'lonely', 'places', 'seduce', 'kill', 'people', 'thus,', 'gradually', 'becoming', 'lost', 'dark', 'world', 'revenge', 'lust.']"
Saheb Biwi Aur Gangster 3,2018,"Action, Crime, Drama            ","The royal saga of deceit, conspiracy, greed and lust continues in the third installment of the series, as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.",4.4,766,3,Tigmanshu Dhulia,"Sanjay Dutt, Jimmy Sheirgill, Mahie Gill, Chitrangda Singh","['royal', 'saga', 'deceit,', 'conspiracy,', 'greed', 'lust', 'continues', 'third', 'installment', 'series,', 'saheb', 'biwi', 'pitted', 'enemy', 'everyone', 'involved', 'scheming', 'ruthlessly', 'personal', 'gain.']"
Return of Hanuman,2007,"Animation, Action, Adventure            ","A young boy, Minku, ridiculed by his friends, begs the gods to send him down to Earth, and his wish is granted.",7.2,765,14,Anurag Kashyap,"Raj Singh Jhinger, Malak Shah","['young', 'boy,', 'minku,', 'ridiculed', 'friends,', 'begs', 'gods', 'send', 'earth,', 'wish', 'granted.']"
Saudagar,1973,"Drama, Family            ",A calculative man schemes to deceit a poor but young widow for his personal monetary gains.,7.2,765,48,Sudhendu Roy,"Amitabh Bachchan, Nutan, Trilok Kapoor, Padma Khanna","['calculative', 'man', 'schemes', 'deceit', 'poor', 'young', 'widow', 'personal', 'monetary', 'gains.']"
Shaadi Se Pehle,2006,"Comedy, Musical, Romance            ","It was love at first sight for unemployed Ashish Khanna and Rani Bhalla at a cold drink stall. When Rani introduces Ashish to her businessman dad, Tau, and mom, they unanimously frown upon ...                See full summary »",4.1,762,15,Satish Kaushik,"Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty","['love', 'first', 'sight', 'unemployed', 'ashish', 'khanna', 'rani', 'bhalla', 'cold', 'drink', 'stall.', 'rani', 'introduces', 'ashish', 'businessman', 'dad,', 'tau,', 'mom,', 'unanimously', 'frown', 'upon', '...', 'see', 'full', 'summary', '»']"
Police Force: An Inside Story,2004,"Action, Crime, Drama            ",Senior police officer Pandey is called in to train a new batch of trainee officers that the Indian police force wants to recruit. He does manages to induct some sense of fair-play in these ...                See full summary »,4.7,762,17,lip Shukla,"Akshay Kumar, Raveena Tandon, Amrish Puri, Mohan Joshi","['senior', 'police', 'officer', 'pandey', 'called', 'train', 'new', 'batch', 'trainee', 'officers', 'indian', 'police', 'force', 'wants', 'recruit.', 'manages', 'induct', 'sense', 'fair-play', '...', 'see', 'full', 'summary', '»']"
Aatish: Feel the Fire,1994,"Action, Crime, Drama            ","Baba turns to crime to support his brother, Avinash. However, Baba keeps him distant from the underworld nexus, but problems escalate when Avinash becomes a cop and is assigned to arrest his own brother.",5.8,762,27,Sanjay Gupta,"Sanjay Dutt, Aditya Pancholi, Raveena Tandon, Karisma Kapoor","['baba', 'turns', 'crime', 'support', 'brother,', 'avinash.', 'however,', 'baba', 'keeps', 'distant', 'underworld', 'nexus,', 'problems', 'escalate', 'avinash', 'becomes', 'cop', 'assigned', 'arrest', 'brother.']"
Dil Tera Aashiq,1993,"Comedy, Drama, Romance            ",Vijay falls in love with Soniya in the dancing school where both are dance instructors. Thakur who is a confirmed bachelor is also drawn towards Savitri Devi; who is being impersonated by Soniya.,5.1,762,28,"""    Director:Lawrence D'Souza""","Madhuri Dixit, Salman Khan, Kader Khan, Asrani","['vijay', 'falls', 'love', 'soniya', 'dancing', 'school', 'dance', 'instructors.', 'thakur', 'confirmed', 'bachelor', 'also', 'drawn', 'towards', 'savitri', 'devi;', 'impersonated', 'soniya.']"
Albela,2001,"Comedy, Drama, Romance            ","Tony (Govinda), a tour guide, falls in love with one of his clients, Sonia (Aishwarya Rai), and tries to woo her. However, Sonia does not reciprocate his feelings since she is in love with another man.",3.7,757,20,pak Sareen,"Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar","['tony', '(govinda),', 'tour', 'guide,', 'falls', 'love', 'one', 'clients,', 'sonia', '(aishwarya', 'rai),', 'tries', 'woo', 'her.', 'however,', 'sonia', 'reciprocate', 'feelings', 'since', 'love', 'another', 'man.']"
Jeena Sirf Merre Liye,2002,"Comedy, Romance            ",Pinky alias Pooja Malhotra (Kareena Kapoor) and Karan (Tusshar Kapoor) are childhood sweethearts. During this time they exchange vows that they will live for each other only. They separate ...                See full summary »,4.4,756,19,Talat Jani,"Kareena Kapoor, Tusshar Kapoor, Mallika Sherawat, Ali Asgar","['pinky', 'alias', 'pooja', 'malhotra', '(kareena', 'kapoor)', 'karan', '(tusshar', 'kapoor)', 'childhood', 'sweethearts.', 'time', 'exchange', 'vows', 'live', 'only.', 'separate', '...', 'see', 'full', 'summary', '»']"
Tumsa Nahin Dekha,2004,"Musical, Romance            ","Two men show up at Sardar's home claiming to be his son. As he tries to sort the mess out and identify the imposter so he can be married, the police figure out he is wanted for murdering his brother 20 years ago.",4.6,750,17,Anurag Basu,"Emraan Hashmi, Dia Mirza, Anupam Kher, Sharat Saxena","['two', 'men', 'show', ""sardar's"", 'home', 'claiming', 'son.', 'tries', 'sort', 'mess', 'identify', 'imposter', 'married,', 'police', 'figure', 'wanted', 'murdering', 'brother', '20', 'years', 'ago.']"
Gaja Gamini,2000,"Drama, Fantasy            ","Gaja Gamini, the embodiment of the Indian spirit, inspires artists of all kinds, interacts with and influences the West, and exists through the ages.",5.0,747,21,M.F. Hussain,"Madhuri Dixit, Shabana Azmi, Naseeruddin Shah, Shilpa Shirodkar","['gaja', 'gamini,', 'embodiment', 'indian', 'spirit,', 'inspires', 'artists', 'kinds,', 'interacts', 'influences', 'west,', 'exists', 'ages.']"
Veerappan,2016,"Action, Biography, Crime            ","Officer Kannan leads a group of police officers to track down the bandit, Veerappan.",5.3,746,5,Ram Gopal Varma,"Sachiin Joshi, Sandeep Bharadwaj, Usha Jadhav, Nissar Khan","['officer', 'kannan', 'leads', 'group', 'police', 'officers', 'track', 'bandit,', 'veerappan.']"
Waisa Bhi Hota Hai Part II,2003,"Comedy, Crime, Drama            ","Revolves around a hapless copywriter torn between his crazy police officer fiancee and his new best friend, a hit man who inadvertently involves him underworld.",7.3,746,18,Shashanka Ghosh,"Arshad Warsi, Prashant Narayanan, Sandhya Mridul, Pratima Kazmi","['revolves', 'around', 'hapless', 'copywriter', 'torn', 'crazy', 'police', 'officer', 'fiancee', 'new', 'best', 'friend,', 'hit', 'man', 'inadvertently', 'involves', 'underworld.']"
Junooniyat,2016,"Drama, Romance            ","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",4.2,744,5,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Gulshan Devaiah, Hrishitaa Bhatt","['captain', 'jahan', 'bakshi', 'rescues', 'punjabi', 'girl,', 'suhani.', 'starts', 'friendship', 'evolves', 'passionate', 'love', 'affair.']"
Jackpot,2013,"Comedy, Thriller            ",There are places in Goa where the rich can easily be fooled out of their money. A group of swindlers take advantage of this and risk everything just to get caught in a web of their own making.,2.0,744,8,Kaizad Gustad,"Naseeruddin Shah, Sunny Leone, Sachiin Joshi, Bharath Niwas","['places', 'goa', 'rich', 'easily', 'fooled', 'money.', 'group', 'swindlers', 'take', 'advantage', 'risk', 'everything', 'get', 'caught', 'web', 'making.']"
Dharam Veer,1977,"Action, Adventure, Comedy            ",Movie revolves around two brothers who are separated during birth but meet as adults and form a deep friendship. Also about the challenges that test their friendship.,6.7,744,44,Manmohan Desai,"Dharmendra, Zeenat Aman, Jeetendra, Neetu Singh","['movie', 'revolves', 'around', 'two', 'brothers', 'separated', 'birth', 'meet', 'adults', 'form', 'deep', 'friendship.', 'also', 'challenges', 'test', 'friendship.']"
The Taste of Relation,2009,"Drama, Family, Mystery            ","We see different tastes of relation at different point of life...Some are sweet...Some are salty...Some are sour...but some are very bitter. There is fun, love, emotions, sacrifice, death and lots more. There is one truth ""A service to mankind can be the gift for your life"".",5.6,743,12,Mukesh Asopa,"Mukesh Asopa, Kamal Nandi, Aruna Bhatnagar, Tree Ryde","['see', 'different', 'tastes', 'relation', 'different', 'point', 'life...some', 'sweet...some', 'salty...some', 'sour...but', 'bitter.', 'fun,', 'love,', 'emotions,', 'sacrifice,', 'death', 'lots', 'more.', 'one', 'truth', '""a', 'service', 'mankind', 'gift', 'life"".']"
Bajatey Raho,2013,"Comedy, Drama, Thriller            ",Surviving family members and friends of a man who was conned by the cunning businessman Sabbarwahl string together a series of their own cons in an attempt to bring him down.,5.3,741,8,Shashant Shah,"Tusshar Kapoor, Vinay Pathak, Ranvir Shorey, Dolly Ahluwalia","['surviving', 'family', 'members', 'friends', 'man', 'conned', 'cunning', 'businessman', 'sabbarwahl', 'string', 'together', 'series', 'cons', 'attempt', 'bring', 'down.']"
Sardar,1993,"Biography, Drama, History            ",An account of Vallbhbhai Patel's political life while India was taking first steps as an independent country.,7.9,740,28,Ketan Mehta,"Paresh Rawal, Tom Alter, Deepika Amin, Riju Bajaj","['account', 'vallbhbhai', ""patel's"", 'political', 'life', 'india', 'taking', 'first', 'steps', 'independent', 'country.']"
Anwar Ka Ajab Kissa,2013,"Adventure, Comedy, Drama            ","This a journey of a detective,his life and how things are to him. His life is about following people, finding though he is still in search for himself, how he connects to the people he meets and gets intertwined in their lives.",6.0,739,8,Buddhadev Dasgupta,"Nawazuddin Siddiqui, Pankaj Tripathi, Ananya Chatterjee, Amrita Chattopadhyay","['journey', 'detective,his', 'life', 'things', 'him.', 'life', 'following', 'people,', 'finding', 'though', 'still', 'search', 'himself,', 'connects', 'people', 'meets', 'gets', 'intertwined', 'lives.']"
